iso2c,iso3c,country,date,NV.AGR.TOTL.ZS,NV.IND.MANF.ZS,NV.SRV.TOTL.ZS,NY.GDP.MKTP.CD,NY.GDP.PCAP.CD,NY.GDP.PCAP.PP.CD,SE.ADT.LITR.FE.ZS,SE.ENR.TERT.FM.ZS,SE.PRM.CMPT.FE.ZS,SG.GEN.PARL.ZS,SH.STA.MMRT,SL.TLF.CACT.FE.ZS,SL.TLF.CACT.FM.ZS,SL.UEM.TOTL.FE.ZS,SP.ADO.TFRT,SP.DYN.LE00.FE.IN,city_name
US,USA,United States,2018,0.898498260790929,11.2802494089516,76.2769100268409,20656516000000,63201.0458483771,63201.0458483768,NA,1.26827001571655,95.4763412475586,23.5023041474654,18,56.471,82.1814742050498,3.836,17.164,81.2,New York
US,USA,United States,2019,0.83262086291437,10.9764075104612,76.6113712908395,21539982000000,65604.6815198734,65604.6815198737,NA,1.27759003639221,103.343627929688,23.4338747099768,18,56.868,82.631754842272,3.608,16.202,81.4,New York
US,USA,United States,2020,0.935800226701142,10.4829088833271,77.063050443931,21354105000000,64411.3731779373,64411.3731779373,NA,1.29252004623413,101.677947998047,27.4647887323944,22,55.704,82.6517894237047,8.356,14.719,79.9,New York
US,USA,United States,2021,0.944732585225621,10.5447977298082,76.3995935758413,23681171000000,71318.3073592183,71318.3073592183,NA,1.32444000244141,100.28727722168,27.6497695852535,31,55.632,82.5902997372289,5.21,13.724,79.3,New York
US,USA,United States,2022,NA,NA,NA,26006893000000,78035.1753604212,78035.1753604212,NA,1.31957995891571,94.0673522949219,28.7037037037037,20,56.03,82.9447380497698,3.613,13.628,80.2,New York
GB,GBR,United Kingdom,2018,0.571108913982411,8.95235988968101,70.748695351586,2871340347581.79,43203.8141057739,47090.4848967293,NA,1.26346004009247,98.4677200317383,32.1538461538462,9,57.514,84.6167426805944,4.044,12.068,83.1,London
GB,GBR,United Kingdom,2019,0.604721474036011,8.79681958314551,70.9729663672081,2851407164907.81,42662.5353740311,49911.1566522001,NA,1.26252996921539,100.199798583984,32,9,58.009,86.0310256866584,3.414,11.064,83.275,London
GB,GBR,United Kingdom,2020,0.671076489218374,8.99725503283597,72.1085854624181,2696778386607.65,40201.6812422928,47987.5832915072,NA,1.25449001789093,99.5981521606445,33.8461538461538,14,58.246,86.8526609307666,4.156,9.701,82.4,London
GB,GBR,United Kingdom,2021,0.708497418395029,8.64632011901637,72.1667541786996,3143323050707.26,46896.8662432834,50972.2445879987,NA,1.26254999637604,99.404296875,34.2592592592593,13,58,87.7511498426531,4.594,8.578,82.671,London
GB,GBR,United Kingdom,2022,0.660339419924098,8.10840443503634,71.7931007731073,3114042471144.39,45935.9276473925,58382.9758958382,NA,1.27066004276276,99.8799285888672,34.5679012345679,15,57.703,87.0108720237647,3.576,8.379,83.018,London
JP,JPN,Japan,2018,1.044248235947,20.621683951335,69.4031278581593,5040880939324.86,39751.1330982711,42141.9352987759,NA,0.971849977970123,NA,10.1075268817204,5,52.368,73.6705869112599,2.232,3.076,87.32,Tokyo
JP,JPN,Japan,2019,1.03894744464527,20.2241827905106,69.6276716636423,5117993853016.51,40415.9567649547,42678.1511448355,NA,0.978950023651123,NA,10.1075268817204,5,53.24,74.6536541589545,2.168,2.772,87.45,Tokyo
JP,JPN,Japan,2020,1.06632318664296,20.0524927187101,69.4616161814511,5055587093501.59,40040.7655055923,42438.44646009,NA,0.982900023460388,NA,9.89247311827957,4,53.09,74.4057629779123,2.531,2.503,87.71,Tokyo
JP,JPN,Japan,2021,1.01328081764637,20.8554948736037,69.1297631401118,5034620784584.98,40058.5373276179,44315.4979912492,NA,0.9685999751091,NA,9.67741935483871,4,53.515,75.0887482636209,2.55,2.088,87.57,Tokyo
JP,JPN,Japan,2022,1.01759821736288,19.2274179079491,71.3885098732362,4256410760723.75,34017.2718075024,47328.5386309954,NA,0.973879992961884,NA,9.91379310344828,5,54.167,75.9109255003083,2.38,1.821,87.09,Tokyo
