iso2c,iso3c,country,date,EN.CLC.HEAT.XD,unit,obs_status,footnote,last_updated,AG.LND.PRCP.MM,SP.URB.TOTL.IN.ZS,EG.ELC.ACCS.ZS,ER.LND.PTLD.ZS,city_name
JP,JPN,Japan,2021,NA,NA,NA,NA,2025-06-05,NA,91.867,NA,NA,Tokyo
JP,JPN,Japan,2022,NA,NA,NA,NA,2025-06-05,NA,91.955,NA,NA,Tokyo
JP,JPN,Japan,2018,NA,NA,NA,NA,2025-06-05,NA,NA,100,NA,Tokyo
JP,JPN,Japan,2019,NA,NA,NA,NA,2025-06-05,NA,NA,100,NA,Tokyo
JP,JPN,Japan,2020,NA,NA,NA,NA,2025-06-05,NA,NA,100,NA,Tokyo
JP,JPN,Japan,2021,NA,NA,NA,NA,2025-06-05,NA,NA,100,NA,Tokyo
JP,JPN,Japan,2022,NA,NA,NA,NA,2025-06-05,NA,NA,100,NA,Tokyo
JP,JPN,Japan,2018,NA,NA,NA,NA,2025-06-05,NA,NA,NA,29.3875386330145,Tokyo
JP,JPN,Japan,2019,NA,NA,NA,NA,2025-06-05,NA,NA,NA,29.4,Tokyo
JP,JPN,Japan,2020,NA,NA,NA,NA,2025-06-05,NA,NA,NA,29.4,Tokyo
JP,JPN,Japan,2021,NA,NA,NA,NA,2025-06-05,NA,NA,NA,29.7,Tokyo
JP,JPN,Japan,2022,NA,NA,NA,NA,2025-06-05,NA,NA,NA,29.7,Tokyo
