iso2c,iso3c,country,date,BX.KLT.DINV.WD.GD.ZS,CM.MKT.LCAP.GD.ZS,NV.AGR.TOTL.ZS,NV.IND.MANF.ZS,NV.SRV.TOTL.ZS,NY.GDP.MKTP.CD,NY.GDP.PCAP.CD,NY.GDP.PCAP.PP.CD,NY.GNS.ICTR.ZS
US,USA,United States,2013,1.70686814034716,142.380811961222,1.31815003575389,11.7719128367022,75.6476660748857,16880683000000,53409.7507774372,53409.7507774372,18.5633187946246
US,USA,United States,2014,1.43033863092168,149.536476770003,1.16824049198161,11.6174420373125,75.580105062784,17608138000000,55304.3155317137,55304.3155317137,19.656661027986
US,USA,United States,2015,2.79548220201356,137.018385168116,1.02890409132672,11.6055807430427,76.3690739266245,18295019000000,57040.2082136605,57040.2082136605,19.6984272057875
US,USA,United States,2016,2.52268117379751,145.452418312172,0.937140437714336,11.1581029329942,76.987521420599,18804913000000,58206.6141931844,58206.6141931841,18.5586926139993
US,USA,United States,2017,1.94177554246862,163.780010169231,0.940362226343714,11.1814907295506,76.5036033516448,19612102000000,60322.2614241747,60322.261424175,18.9790569108808
US,USA,United States,2018,1.03945408799819,147.344852587919,0.898498260790929,11.2802494089516,76.2769100268409,20656516000000,63201.0458483771,63201.0458483768,19.2320912200296
US,USA,United States,2019,1.46696501417689,158.243991893772,0.83262086291437,10.9764075104612,76.6113712908395,21539982000000,65604.6815198734,65604.6815198737,19.4312325794887
US,USA,United States,2020,0.641871902381299,194.669183138324,0.935800226701142,10.4829088833271,77.063050443931,21354105000000,64411.3731779373,64411.3731779373,18.3867832437838
US,USA,United States,2021,2.00921229782091,205.009026453971,0.944732585225621,10.5447977298082,76.3995935758413,23681171000000,71318.3073592183,71318.3073592183,17.752631404925
US,USA,United States,2022,1.57259077429972,154.951152065724,NA,NA,NA,26006893000000,78035.1753604212,78035.1753604212,18.4223582570975
