iso2c,iso3c,country,date,NV.AGR.TOTL.ZS,NV.IND.MANF.ZS,NV.SRV.TOTL.ZS,NY.GDP.MKTP.CD,NY.GDP.PCAP.CD,NY.GDP.PCAP.PP.CD,SE.ADT.LITR.FE.ZS,SE.ENR.TERT.FM.ZS,SE.PRM.CMPT.FE.ZS,SG.GEN.PARL.ZS,SH.STA.MMRT,SL.TLF.CACT.FE.ZS,SL.TLF.CACT.FM.ZS,SL.UEM.TOTL.FE.ZS,SP.ADO.TFRT,SP.DYN.LE00.FE.IN
US,USA,United States,2020,0.935800226701142,10.4829088833271,77.063050443931,21354105000000,64411.3731779373,64411.3731779373,NA,1.29252004623413,101.677947998047,27.4647887323944,22,55.704,82.6517894237047,8.356,14.719,79.9
US,USA,United States,2021,0.944732585225621,10.5447977298082,76.3995935758413,23681171000000,71318.3073592183,71318.3073592183,NA,1.32444000244141,100.28727722168,27.6497695852535,31,55.632,82.5902997372289,5.21,13.724,79.3
US,USA,United States,2022,NA,NA,NA,26006893000000,78035.1753604212,78035.1753604212,NA,1.31957995891571,94.0673522949219,28.7037037037037,20,56.03,82.9447380497698,3.613,13.628,80.2
