iso2c,iso3c,country,date,BX.KLT.DINV.WD.GD.ZS,CM.MKT.LCAP.GD.ZS,NV.AGR.TOTL.ZS,NV.IND.MANF.ZS,NV.SRV.TOTL.ZS,NY.GDP.MKTP.CD,NY.GDP.PCAP.CD,NY.GDP.PCAP.PP.CD,NY.GNS.ICTR.ZS
BR,BRA,Brazil,2013,3.04150901601519,41.2668743209965,4.5068861822272,10.4796122903756,59.6787579888961,2472819535742.73,12458.891214816,15722.3335254698,18.1516908308164
BR,BRA,Brazil,2014,3.57135266957477,34.3599012775913,4.32561053879483,10.3370973963623,61.2509740086137,2456043727198.85,12274.9939689363,15827.3081625514,16.1344049935616
BR,BRA,Brazil,2015,3.59214931773371,27.2184434286181,4.31914942942436,10.5209374565841,62.3078671707317,1802212206904.68,8936.19661756825,14821.438318195,14.5293471801657
BR,BRA,Brazil,2016,4.13737803912088,42.2432294466088,4.89135358845478,10.7864511156539,63.2036958394903,1795693482652.52,8836.28652636996,14309.2061473297,13.4217530068461
BR,BRA,Brazil,2017,3.33825981744108,46.2664487772856,4.60059169575972,10.7214980094842,63.3386728634318,2063514977334.32,10080.5092817775,14559.0488894794,13.5777696899144
BR,BRA,Brazil,2018,4.07858821449124,47.827647627193,4.42039930378329,10.5284573768575,62.653350352313,1916933898038.36,9300.66164936497,15463.7426396097,12.7074199533443
BR,BRA,Brazil,2019,3.69267321290613,63.3838235201946,4.2050140943502,10.3325005322006,63.0678492464134,1873288205186.45,9029.83326742175,16069.8380163501,12.2507958322711
BR,BRA,Brazil,2020,2.59263795330717,66.9581653089287,5.71148511544041,10.6929315691751,61.4484446456232,1476107231194.11,7074.19378281866,16101.618305077,14.7933291843733
BR,BRA,Brazil,2021,2.77979084916568,48.8359602673449,6.55876261159667,11.9043730103232,56.9133841843593,1670647399034.67,7972.53665048385,18075.7060063108,17.1564858664614
BR,BRA,Brazil,2022,3.8221961533297,40.699224128175,5.76747490819457,13.0740816282273,58.0872310744068,1951923942083.32,9281.33334441234,19876.8533546887,15.955116099468
