iso2c,iso3c,country,date,BX.KLT.DINV.WD.GD.ZS,CM.MKT.LCAP.GD.ZS,NV.AGR.TOTL.ZS,NV.IND.MANF.ZS,NV.SRV.TOTL.ZS,NY.GDP.MKTP.CD,NY.GDP.PCAP.CD,NY.GDP.PCAP.PP.CD,NY.GNS.ICTR.ZS
IN,IND,India,2013,1.5162764665975,68.1342663963192,17.1484235433697,15.253022692586,46.6987147692338,1856721507621.58,1432.84397512195,5014.3505659078,34.3046574869553
IN,IND,India,2014,1.69565958990807,82.7172077979209,16.7919345145039,15.0655701107589,47.8224137556558,2039126479154.52,1553.88396075118,5191.59149903249,33.4660257489805
IN,IND,India,2015,2.09211521443253,82.9615370858036,16.1745081068401,15.5838545863713,47.7837481204463,2103588360044.94,1583.99815907985,5425.03599091046,32.4539241111902
IN,IND,India,2016,1.9373641224439,76.0981248580096,16.3638005616331,15.1622371332529,47.7494012900074,2294796885663.16,1707.50892912243,5800.48149366552,31.7264147403683
IN,IND,India,2017,1.50731583255894,96.3987783868431,16.5583314049368,15.0182387501718,47.6708899682407,2651474262755.45,1950.10468280866,6144.71714444938,31.7067531706123
IN,IND,India,2018,1.55821483801456,84.4383990555314,16.031630686449,14.8815306673017,48.4315663156522,2702929641648.74,1966.25455171679,6714.96639877754,31.4104922311412
IN,IND,India,2019,1.78482633957161,80.6502829973526,16.7555683032837,13.4558075633394,50.0849578546822,2835606256558.19,2041.42863698585,7150.92423452926,29.7022005792949
IN,IND,India,2020,2.40620322673636,97.0320136248061,18.6685376603727,14.1204853576923,47.9326881092162,2674851578587.27,1907.04251637669,6966.27542785911,28.6796821131572
IN,IND,India,2021,1.41217101040888,113.611226447576,17.3725615260314,14.3770288531286,47.8472234596709,3167270623260.47,2239.61384367482,8050.01857452664,29.8661330649563
IN,IND,India,2022,1.48921120524648,107.455319678342,16.6394310409691,13.1224776704381,49.5769340735273,3353470496886.33,2352.61392452078,9153.88084185646,29.8899835529029
