iso2c,iso3c,country,date,BX.KLT.DINV.WD.GD.ZS,CM.MKT.LCAP.GD.ZS,NV.AGR.TOTL.ZS,NV.IND.MANF.ZS,NV.SRV.TOTL.ZS,NY.GDP.MKTP.CD,NY.GDP.PCAP.CD,NY.GDP.PCAP.PP.CD,NY.GNS.ICTR.ZS
JP,JPN,Japan,2013,0.204293384186424,87.1619932991927,1.06671782970179,19.3290316543759,71.6207726116305,5212328181166.18,40898.6478964744,39402.0250988025,25.2525231315864
JP,JPN,Japan,2014,0.403354543401037,89.4016616644297,0.996605700341743,19.5936092334203,70.8840213488149,4896994405353.29,38475.3952461838,39555.4120089198,25.7720886257814
JP,JPN,Japan,2015,0.11816198774824101,110.123633038841,1.03412007048647,20.4624703758492,69.7955308631099,4444930651964.18,34960.6393843385,40906.594569246,28.1789158205035
JP,JPN,Japan,2016,0.818481615264516,99.0331516365327,1.12498130848332,20.2880385682684,69.8870573141604,5003677627544.24,39375.4731620781,40596.9686628994,28.7272232413719
JP,JPN,Japan,2017,0.381319638034274,126.202199426239,1.12844054943922,20.4359460686022,69.5357755666973,4930837369151.42,38834.0529341227,41444.2157443914,29.2896671713554
JP,JPN,Japan,2018,0.501685482403774,105.077091955864,1.044248235947,20.621683951335,69.4031278581593,5040880939324.86,39751.1330982711,42141.9352987759,29.1254674586362
JP,JPN,Japan,2019,0.780785313301259,120.96679808146,1.03894744464527,20.2241827905106,69.6276716636423,5117993853016.51,40415.9567649547,42678.1511448355,29.1717018986434
JP,JPN,Japan,2020,1.23793178201869,132.887030244925,1.06632318664296,20.0524927187101,69.4616161814511,5055587093501.59,40040.7655055923,42438.44646009,28.1676671519298
JP,JPN,Japan,2021,0.695725961783807,129.986026157866,1.01328081764637,20.8554948736037,69.1297631401118,5034620784584.98,40058.5373276179,44315.4979912492,29.5504503863973
JP,JPN,Japan,2022,1.13063140038369,126.408745829905,1.01759821736288,19.2274179079491,71.3885098732362,4256410760723.75,34017.2718075024,47328.5386309954,28.4470169340027
